epoch,phase,loss,accuracy
0,val,3.382271633303202,0.49772727272727274
1,train,0.26863653549147215,0.9331168831168831
1,val,0.12520066831405557,0.953030303030303
2,train,0.11735488007100672,0.9587662337662337
2,val,0.046702506516137554,0.9833333333333333
3,train,0.11220553875523778,0.9662337662337662
3,val,0.04857560435605342,0.990909090909091
4,train,0.07239358069675716,0.974512987012987
4,val,0.03532976938250637,0.9856060606060606
5,train,0.08025367901874918,0.9719155844155845
5,val,0.05475264924602639,0.9871212121212121
